PULocationID,weather,season,time,pickup_area,trip_distance
14,rainy,summer,night,not manhattan,12.632857142857143
14,rainy,winter,day,not manhattan,5.29
14,rainy,winter,night,not manhattan,10.764
14,sunny,fall,day,not manhattan,8.726625
14,sunny,fall,night,not manhattan,6.243235294117647
14,sunny,spring,day,not manhattan,8.298
14,sunny,spring,night,not manhattan,5.023076923076923
14,sunny,summer,day,not manhattan,9.264776119402985
14,sunny,summer,night,not manhattan,6.700714285714286
14,sunny,winter,day,not manhattan,9.045957446808512
14,sunny,winter,night,not manhattan,4.4714285714285715
15,rainy,fall,day,not manhattan,14.51
15,rainy,fall,night,not manhattan,21.65
15,rainy,spring,day,not manhattan,15.399999999999999
15,rainy,summer,day,not manhattan,20.08
15,rainy,winter,day,not manhattan,0.3
15,rainy,winter,night,not manhattan,11.72
15,sunny,fall,day,not manhattan,7.378333333333334
15,sunny,fall,night,not manhattan,2.536
15,sunny,spring,day,not manhattan,13.572
15,sunny,spring,night,not manhattan,2.9499999999999997
15,sunny,summer,day,not manhattan,12.94375
15,sunny,summer,night,not manhattan,4.7
15,sunny,winter,day,not manhattan,7.66
16,rainy,fall,night,not manhattan,8.17
16,rainy,spring,day,not manhattan,8.233333333333333
16,rainy,spring,night,not manhattan,3.8499999999999996
16,rainy,summer,day,not manhattan,17.97
16,rainy,winter,night,not manhattan,1.74
16,sunny,fall,day,not manhattan,8.238888888888889
16,sunny,fall,night,not manhattan,8.088
16,sunny,spring,day,not manhattan,6.60125
16,sunny,spring,night,not manhattan,7.512499999999999
16,sunny,summer,day,not manhattan,4.328749999999999
16,sunny,summer,night,not manhattan,4.9799999999999995
16,sunny,winter,day,not manhattan,8.18
16,sunny,winter,night,not manhattan,14.95
17,rainy,fall,day,not manhattan,4.001111111111111
17,rainy,fall,night,not manhattan,2.142692307692308
17,rainy,spring,day,not manhattan,3.5976470588235294
17,rainy,spring,night,not manhattan,2.9756756756756757
17,rainy,summer,day,not manhattan,2.4486666666666665
17,rainy,summer,night,not manhattan,3.55125
17,rainy,winter,day,not manhattan,2.9454285714285717
17,rainy,winter,night,not manhattan,2.4439130434782608
17,sunny,fall,day,not manhattan,3.3291616766467067
17,sunny,fall,night,not manhattan,2.9613815789473685
17,sunny,spring,day,not manhattan,2.82625
17,sunny,spring,night,not manhattan,3.1665536723163843
17,sunny,summer,day,not manhattan,3.0595
17,sunny,summer,night,not manhattan,2.913664596273292
17,sunny,winter,day,not manhattan,2.8596
17,sunny,winter,night,not manhattan,2.915
18,rainy,fall,day,not manhattan,4.3420000000000005
18,rainy,fall,night,not manhattan,5.695
18,rainy,spring,day,not manhattan,2.818888888888889
18,rainy,spring,night,not manhattan,3.61
18,rainy,summer,day,not manhattan,3.7
18,rainy,summer,night,not manhattan,5.6450000000000005
18,rainy,winter,day,not manhattan,3.108181818181818
18,rainy,winter,night,not manhattan,2.35
18,sunny,fall,day,not manhattan,5.749230769230769
18,sunny,fall,night,not manhattan,5.325
18,sunny,spring,day,not manhattan,5.189117647058824
18,sunny,spring,night,not manhattan,2.6425
18,sunny,summer,day,not manhattan,3.6694736842105264
18,sunny,summer,night,not manhattan,6.3161538461538465
18,sunny,winter,day,not manhattan,3.3376315789473683
18,sunny,winter,night,not manhattan,4.298
19,rainy,fall,day,not manhattan,22.04
19,rainy,spring,day,not manhattan,19.3
19,rainy,summer,day,not manhattan,42.64
19,rainy,summer,night,not manhattan,7.67
19,rainy,winter,day,not manhattan,2.37
19,sunny,fall,day,not manhattan,7.708333333333333
19,sunny,fall,night,not manhattan,15.145714285714286
19,sunny,spring,day,not manhattan,9.252666666666666
19,sunny,spring,night,not manhattan,9.356666666666667
19,sunny,summer,day,not manhattan,7.420833333333333
19,sunny,summer,night,not manhattan,16.386666666666667
19,sunny,winter,day,not manhattan,8.9084
19,sunny,winter,night,not manhattan,6.903999999999999
20,rainy,fall,day,not manhattan,9.68
20,rainy,fall,night,not manhattan,0.9
20,rainy,spring,day,not manhattan,6.253636363636364
20,rainy,summer,day,not manhattan,4.151666666666666
20,rainy,winter,day,not manhattan,2.8425000000000002
20,rainy,winter,night,not manhattan,7.58
20,sunny,fall,day,not manhattan,3.6646666666666667
20,sunny,fall,night,not manhattan,5.815
20,sunny,spring,day,not manhattan,5.073939393939394
20,sunny,spring,night,not manhattan,7.058571428571429
20,sunny,summer,day,not manhattan,6.7843478260869565
20,sunny,summer,night,not manhattan,3.16875
20,sunny,winter,day,not manhattan,4.095238095238095
20,sunny,winter,night,not manhattan,5.107142857142857
21,rainy,spring,day,not manhattan,22.9
21,rainy,summer,day,not manhattan,7.956666666666666
21,rainy,summer,night,not manhattan,7.716666666666666
21,rainy,winter,day,not manhattan,2.3
21,sunny,fall,day,not manhattan,8.507692307692308
21,sunny,fall,night,not manhattan,8.43
21,sunny,spring,day,not manhattan,4.627272727272728
21,sunny,spring,night,not manhattan,5.137
21,sunny,summer,day,not manhattan,19.62909090909091
21,sunny,summer,night,not manhattan,4.1075
21,sunny,winter,day,not manhattan,11.612
21,sunny,winter,night,not manhattan,3.9325
22,rainy,fall,day,not manhattan,10.372
22,rainy,spring,day,not manhattan,3.63
22,rainy,spring,night,not manhattan,1.86
22,rainy,summer,day,not manhattan,11.115
22,rainy,winter,day,not manhattan,1.5033333333333332
22,rainy,winter,night,not manhattan,2.665
22,sunny,fall,day,not manhattan,5.023076923076923
22,sunny,fall,night,not manhattan,12.953333333333333
22,sunny,spring,day,not manhattan,7.796666666666667
22,sunny,spring,night,not manhattan,6.3549999999999995
22,sunny,summer,day,not manhattan,7.7837499999999995
22,sunny,summer,night,not manhattan,5.63
22,sunny,winter,day,not manhattan,7.415555555555557
22,sunny,winter,night,not manhattan,4.53
23,rainy,fall,day,not manhattan,7.47
23,rainy,spring,day,not manhattan,3.68
23,rainy,winter,day,not manhattan,8.44
23,sunny,fall,day,not manhattan,24.77
23,sunny,fall,night,not manhattan,3.0
23,sunny,spring,day,not manhattan,16.46
23,sunny,spring,night,not manhattan,34.31
23,sunny,summer,day,not manhattan,10.045
23,sunny,summer,night,not manhattan,13.75
23,sunny,winter,day,not manhattan,15.5775
23,sunny,winter,night,not manhattan,24.73
24,rainy,fall,day,manhattan,2.7018042739193784
24,rainy,fall,night,manhattan,2.8847010309278347
24,rainy,spring,day,manhattan,2.6677274436090226
24,rainy,spring,night,manhattan,3.09
24,rainy,summer,day,manhattan,2.8455842970176506
24,rainy,summer,night,manhattan,2.988196078431373
24,rainy,winter,day,manhattan,2.5836957026713123
24,rainy,winter,night,manhattan,3.1115610859728506
24,sunny,fall,day,manhattan,2.7621749902837154
24,sunny,fall,night,manhattan,3.110462278106509
24,sunny,spring,day,manhattan,2.7216113313511725
24,sunny,spring,night,manhattan,3.1053417487684727
24,sunny,summer,day,manhattan,2.9172426326129663
24,sunny,summer,night,manhattan,3.0437223469060597
24,sunny,winter,day,manhattan,2.5590371913423433
24,sunny,winter,night,manhattan,3.056428571428571
25,rainy,fall,day,not manhattan,4.1989221556886225
25,rainy,fall,night,not manhattan,3.99312101910828
25,rainy,spring,day,not manhattan,3.8066355140186916
25,rainy,spring,night,not manhattan,3.4883980582524274
25,rainy,summer,day,not manhattan,4.395663082437276
25,rainy,summer,night,not manhattan,4.760196078431373
25,rainy,winter,day,not manhattan,3.724604316546763
25,rainy,winter,night,not manhattan,3.0895283018867925
25,sunny,fall,day,not manhattan,4.337307932542161
25,sunny,fall,night,not manhattan,3.842750845546787
25,sunny,spring,day,not manhattan,4.123501805054151
25,sunny,spring,night,not manhattan,4.0815823970037455
25,sunny,summer,day,not manhattan,4.132308571428571
25,sunny,summer,night,not manhattan,4.072181628392484
25,sunny,winter,day,not manhattan,3.96112426035503
25,sunny,winter,night,not manhattan,3.690068965517241
26,rainy,fall,day,not manhattan,2.290909090909091
26,rainy,fall,night,not manhattan,9.6
26,rainy,spring,day,not manhattan,3.4416666666666664
26,rainy,spring,night,not manhattan,1.96
26,rainy,summer,day,not manhattan,2.02
26,rainy,winter,day,not manhattan,4.027777777777778
26,rainy,winter,night,not manhattan,7.973333333333334
26,sunny,fall,day,not manhattan,5.692558139534884
26,sunny,fall,night,not manhattan,3.6076923076923078
26,sunny,spring,day,not manhattan,5.422727272727273
26,sunny,spring,night,not manhattan,3.491818181818182
26,sunny,summer,day,not manhattan,4.868461538461538
26,sunny,summer,night,not manhattan,4.652352941176471
26,sunny,winter,day,not manhattan,4.955454545454545
26,sunny,winter,night,not manhattan,4.332857142857143
27,rainy,winter,day,not manhattan,4.07
27,sunny,spring,day,not manhattan,15.584999999999999
27,sunny,summer,day,not manhattan,7.16
28,rainy,fall,day,not manhattan,10.421956521739132
28,rainy,fall,night,not manhattan,11.593076923076923
28,rainy,spring,day,not manhattan,10.765
28,rainy,spring,night,not manhattan,10.689333333333334
28,rainy,summer,day,not manhattan,12.628039215686274
28,rainy,summer,night,not manhattan,12.9475
28,rainy,winter,day,not manhattan,11.630526315789474
28,rainy,winter,night,not manhattan,12.24
28,sunny,fall,day,not manhattan,10.752988929889298
28,sunny,fall,night,not manhattan,13.005
28,sunny,spring,day,not manhattan,11.235239726027398
28,sunny,spring,night,not manhattan,12.044166666666666
28,sunny,summer,day,not manhattan,11.371830508474577
28,sunny,summer,night,not manhattan,11.31325581395349
28,sunny,winter,day,not manhattan,10.729906542056074
28,sunny,winter,night,not manhattan,12.51972222222222
29,rainy,fall,day,not manhattan,8.75
29,rainy,spring,day,not manhattan,4.845
29,rainy,summer,day,not manhattan,15.516666666666666
29,rainy,summer,night,not manhattan,4.46
29,rainy,winter,day,not manhattan,9.331666666666667
29,sunny,fall,day,not manhattan,13.12047619047619
29,sunny,fall,night,not manhattan,10.423333333333334
29,sunny,spring,day,not manhattan,9.970869565217392
29,sunny,spring,night,not manhattan,9.975714285714286
29,sunny,summer,day,not manhattan,14.456785714285713
29,sunny,summer,night,not manhattan,8.296666666666665
29,sunny,winter,day,not manhattan,10.835454545454546
29,sunny,winter,night,not manhattan,12.326
30,rainy,fall,day,not manhattan,5.22
30,rainy,spring,day,not manhattan,25.5
30,sunny,fall,day,not manhattan,11.485
30,sunny,fall,night,not manhattan,8.6
30,sunny,summer,day,not manhattan,18.064999999999998
30,sunny,summer,night,not manhattan,6.5249999999999995
30,sunny,winter,day,not manhattan,6.04
31,rainy,fall,day,not manhattan,12.13
31,rainy,spring,day,not manhattan,9.55
31,rainy,spring,night,not manhattan,6.716666666666666
31,rainy,summer,day,not manhattan,6.915
31,rainy,summer,night,not manhattan,4.3
31,rainy,winter,day,not manhattan,7.623333333333332
31,sunny,fall,day,not manhattan,7.266923076923077
31,sunny,spring,day,not manhattan,9.25551724137931
31,sunny,spring,night,not manhattan,5.3825
31,sunny,summer,day,not manhattan,11.119565217391305
31,sunny,summer,night,not manhattan,2.62
31,sunny,winter,day,not manhattan,5.667058823529412
32,rainy,fall,day,not manhattan,14.77
32,rainy,fall,night,not manhattan,6.13
32,rainy,spring,day,not manhattan,2.365
32,rainy,spring,night,not manhattan,2.05
32,rainy,summer,day,not manhattan,7.071666666666666
32,rainy,winter,day,not manhattan,10.3
32,rainy,winter,night,not manhattan,2.285
