pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
October,rainy,fall,day,not manhattan,790868.4,2523828.13,430597.39,3468901.55,2464072.966666667,360168.13594766933,923305.9691805462,78645
October,rainy,fall,night,manhattan,352163.31,1454179.78,290687.77,2228200.03,1548033.0333333332,650029.7495696839,1541786.8464897326,122971
October,rainy,fall,night,not manhattan,283225.52,848337.78,138937.99,1138330.9,608479.3333333334,74905.78527184109,292912.2195681096,25595
October,sunny,fall,day,manhattan,4478332.82,21738980.26,4262717.5,32701658.740000002,26606443.28333333,13183540.229021681,21913289.796380624,1758823
October,sunny,fall,day,not manhattan,2732657.31,8822417.92,1522024.91,12142739.5,9052056.05,1260433.1477534412,3182738.89033063,269655
October,sunny,fall,night,manhattan,1573871.08,6620398.83,1338709.5,10085985.18,7207749.2,2978447.366167991,6925690.621706964,540421
October,sunny,fall,night,not manhattan,892852.7,2711637.13,463576.58999999997,3669093.92,2015321.15,280982.83210056555,1023634.361221964,86134
November,rainy,fall,day,manhattan,565515.75,2811752.34,557108.83,4229856.61,3477279.0,1812037.7229503081,2897341.2253627162,229835
November,rainy,fall,day,not manhattan,384480.23,1241700.49,216579.22,1704820.5,1269707.4666666666,177041.25516362436,447918.5897694331,37368
November,rainy,fall,night,manhattan,204580.93,853526.29,172107.2,1304970.82,916890.4666666667,386780.8660632525,908818.5443521718,71221
November,rainy,fall,night,not manhattan,125307.99,377961.09,67302.92,515295.23,267340.6666666667,36424.10826274084,147194.19181169086,12028
November,sunny,fall,day,manhattan,4460224.85,21934838.91,4335957.75,33113223.650000002,26923923.25,13748317.470695475,22744510.528837897,1814887
November,sunny,fall,day,not manhattan,2772400.94,8959695.41,1559180.67,12372618.76,8904150.866666667,1307368.8094656367,3325805.518854405,280058
November,sunny,fall,night,manhattan,1397821.81,5798880.55,1180137.56,8882275.18,6138815.3,2574022.3715841034,6213186.438086918,484649
November,sunny,fall,night,not manhattan,870381.45,2632120.43,457437.73,3575846.85,1854016.7,260496.02523605197,1018793.6288355893,84924
December,rainy,winter,day,manhattan,972628.41,5421662.4,1060048.62,8158774.28,6403052.083333333,3399833.345217136,5149355.833731476,411067
December,rainy,winter,day,not manhattan,615343.62,2193553.25,364980.14,3001158.34,2151082.033333333,312019.8752458055,710075.4482074489,61033
December,rainy,winter,night,manhattan,288673.98,1326938.47,269523.09,2030517.19,1348966.9,594423.0858618235,1324182.4999703392,102956
December,rainy,winter,night,not manhattan,203419.7,674355.0,113244.25,908873.37,456754.55,61491.07373411687,226930.25242822443,19191
December,sunny,winter,day,manhattan,4179360.92,23193009.09,4415086.86,34745402.0,25546222.083333332,13441556.171214283,20747890.78694551,1696657
December,sunny,winter,day,not manhattan,2648849.05,9757590.95,1604829.79,13376828.06,8736916.1,1291961.4360210046,3020367.2451778674,265052
December,sunny,winter,night,manhattan,1456700.69,6758963.08,1328508.37,10244819.21,6572524.983333333,2798923.3677189723,6302243.691772866,499954
December,sunny,winter,night,not manhattan,853227.41,2989116.79,479549.12,4007623.83,1877921.75,277779.8236004929,954882.3973517203,84394
