PULocationID,weather,season,time,pickup_area,duration
23,sunny,spring,day,not manhattan,3974.0
23,sunny,spring,night,not manhattan,5937.0
23,sunny,summer,day,not manhattan,1741.0
23,sunny,summer,night,not manhattan,1028.0
23,sunny,winter,day,not manhattan,2028.2500000000002
23,sunny,winter,night,not manhattan,2266.0
24,rainy,fall,day,manhattan,867.8188440990772
24,rainy,fall,night,manhattan,742.3484536082474
24,rainy,spring,day,manhattan,836.625
24,rainy,spring,night,manhattan,756.7178477690288
24,rainy,summer,day,manhattan,864.6174680462568
24,rainy,summer,night,manhattan,720.2862745098039
24,rainy,winter,day,manhattan,819.5114982578398
24,rainy,winter,night,manhattan,785.9298642533937
24,sunny,fall,day,manhattan,885.9605033035367
24,sunny,fall,night,manhattan,771.1675295857988
24,sunny,spring,day,manhattan,853.180128840436
24,sunny,spring,night,manhattan,743.7478448275862
24,sunny,summer,day,manhattan,851.335952848723
24,sunny,summer,night,manhattan,752.2253927540878
24,sunny,winter,day,manhattan,800.8430037597805
24,sunny,winter,night,manhattan,740.5580595874713
25,rainy,fall,day,not manhattan,1249.559880239521
25,rainy,fall,night,not manhattan,875.5222929936306
25,rainy,spring,day,not manhattan,1141.1261682242991
25,rainy,spring,night,not manhattan,844.7038834951456
25,rainy,summer,day,not manhattan,1188.562724014337
25,rainy,summer,night,not manhattan,926.3333333333334
25,rainy,winter,day,not manhattan,1168.2841726618706
25,rainy,winter,night,not manhattan,806.311320754717
25,sunny,fall,day,not manhattan,1262.054965646471
25,sunny,fall,night,not manhattan,924.8850056369786
25,sunny,spring,day,not manhattan,1153.626095925735
25,sunny,spring,night,not manhattan,929.9709737827716
25,sunny,summer,day,not manhattan,1110.548
25,sunny,summer,night,not manhattan,957.241127348643
25,sunny,winter,day,not manhattan,1082.3626373626373
25,sunny,winter,night,not manhattan,879.4
26,rainy,fall,day,not manhattan,908.3636363636364
26,rainy,fall,night,not manhattan,1728.0
26,rainy,spring,day,not manhattan,1235.5
26,rainy,spring,night,not manhattan,1023.0
26,rainy,summer,day,not manhattan,898.2
26,rainy,winter,day,not manhattan,1175.5555555555557
26,rainy,winter,night,not manhattan,1568.1666666666667
26,sunny,fall,day,not manhattan,1737.4651162790697
26,sunny,fall,night,not manhattan,982.6923076923077
26,sunny,spring,day,not manhattan,1520.090909090909
26,sunny,spring,night,not manhattan,698.7272727272727
26,sunny,summer,day,not manhattan,1399.7692307692307
26,sunny,summer,night,not manhattan,986.9411764705883
26,sunny,winter,day,not manhattan,1369.7272727272727
26,sunny,winter,night,not manhattan,610.4285714285714
27,rainy,winter,day,not manhattan,1174.0
27,sunny,spring,day,not manhattan,2337.0
27,sunny,summer,day,not manhattan,1728.6666666666667
28,rainy,fall,day,not manhattan,1819.391304347826
28,rainy,fall,night,not manhattan,1461.576923076923
28,rainy,spring,day,not manhattan,1856.44
28,rainy,spring,night,not manhattan,1247.6666666666667
28,rainy,summer,day,not manhattan,2157.235294117647
28,rainy,summer,night,not manhattan,1620.5
28,rainy,winter,day,not manhattan,1825.3508771929824
28,rainy,winter,night,not manhattan,1421.0588235294117
28,sunny,fall,day,not manhattan,1814.2656826568266
28,sunny,fall,night,not manhattan,1445.27
