DOLocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
4,sunny,summer,day,not manhattan,21963.32,65990.1,11454.51,90217.53,65865.9,1714
4,sunny,summer,night,manhattan,26540.08,120606.57,23979.51,188243.58000000002,136345.78333333333,11494
4,sunny,summer,night,not manhattan,10198.58,30154.0,5454.56,40457.04,23092.866666666665,844
4,sunny,winter,day,manhattan,42259.08,204401.19,36879.68,307763.22000000003,234417.76666666666,17256
4,sunny,winter,day,not manhattan,18705.77,59015.8,10496.04,80879.39,51536.3,1435
4,sunny,winter,night,manhattan,21334.11,102552.9,20946.5,162551.56,111438.63333333333,9956
4,sunny,winter,night,not manhattan,7685.64,24657.7,4440.68,32885.94,15783.633333333333,693
5,rainy,fall,day,manhattan,59.99,267.0,47.18,346.48,130.15,2
5,rainy,fall,day,not manhattan,135.92000000000002,360.0,38.870000000000005,436.89,248.8666666666667,4
5,rainy,fall,night,manhattan,28.51,76.5,18.68,112.08,47.3,1
5,rainy,spring,day,manhattan,55.629999999999995,149.5,0.0,175.75,97.38333333333334,2
5,rainy,spring,day,not manhattan,28.52,80.0,19.28,115.68,61.066666666666684,1
5,rainy,spring,night,manhattan,28.4,79.0,0.0,95.9,57.7,1
5,rainy,spring,night,not manhattan,96.71000000000001,253.0,53.730000000000004,347.13,152.43333333333334,3
5,rainy,summer,day,manhattan,27.92,78.0,20.19,121.14,59.416666666666664,1
5,rainy,summer,day,not manhattan,97.08,263.5,0.0,290.29999999999995,204.58333333333337,3
5,rainy,summer,night,manhattan,26.1,100.0,20.0,138.6,72.61666666666666,1
5,rainy,summer,night,not manhattan,31.73,83.0,18.17,110.27,42.61666666666667,1
5,rainy,winter,day,manhattan,29.25,81.5,21.09,126.54,70.05,1
5,rainy,winter,day,not manhattan,128.08,379.5,63.14,478.99,236.41666666666669,4
5,sunny,fall,day,manhattan,107.84,372.0,49.9,511.2,264.6333333333333,4
5,sunny,fall,day,not manhattan,440.81,1192.0,110.16,1444.16,873.2333333333333,13
5,sunny,fall,night,manhattan,106.66,295.5,24.58,379.78,203.0666666666667,4
5,sunny,fall,night,not manhattan,232.12,610.0,51.88,730.88,330.1166666666667,7
5,sunny,spring,day,manhattan,217.43,593.5,69.17,789.32,428.3,8
5,sunny,spring,day,not manhattan,369.76,979.0,83.71,1185.86,665.95,11
5,sunny,spring,night,manhattan,151.99,414.0,82.35,604.3,273.75,6
5,sunny,spring,night,not manhattan,191.44,508.5,98.32,690.37,305.3,6
5,sunny,summer,day,manhattan,157.64000000000001,514.5,90.08,717.58,330.05,6
5,sunny,summer,day,not manhattan,715.07,1884.0,162.63,2308.68,1328.6666666666667,23
5,sunny,summer,night,manhattan,82.33,227.0,39.58,304.18,155.0,3
5,sunny,summer,night,not manhattan,301.04,785.5,72.11,950.01,427.5,9
5,sunny,winter,day,manhattan,110.95,356.5,0.0,437.0,215.65,4
5,sunny,winter,day,not manhattan,237.04,708.4,56.94,833.54,377.98333333333335,7
5,sunny,winter,night,manhattan,256.77,802.65,127.34,1114.6399999999999,461.01666666666665,10
5,sunny,winter,night,not manhattan,153.4,417.5,54.08,512.8299999999999,206.63333333333333,5
6,rainy,fall,day,manhattan,90.78,273.5,142.19,510.04,252.78333333333333,6
6,rainy,fall,day,not manhattan,102.23,279.5,46.74,368.4,211.35,4
6,rainy,fall,night,manhattan,87.74000000000001,258.5,35.78,389.03000000000003,225.75,6
6,rainy,fall,night,not manhattan,43.99,116.0,12.32,146.51999999999998,68.16666666666667,2
6,rainy,spring,day,manhattan,109.87,317.5,38.16,480.51,283.55,7
6,rainy,spring,day,not manhattan,136.19,362.0,36.97,444.77,235.16666666666666,6
6,rainy,spring,night,manhattan,112.76,326.0,77.27,537.12,251.66666666666666,8
6,rainy,spring,night,not manhattan,115.63,306.0,24.68,395.83,162.78333333333333,5
6,rainy,summer,day,manhattan,52.260000000000005,147.5,0.0,170.5,118.9,3
6,rainy,summer,day,not manhattan,309.5,843.5,58.03,1047.93,721.6166666666667,13
6,rainy,summer,night,manhattan,41.18,125.5,33.93,203.57999999999998,100.16666666666666,3
6,rainy,summer,night,not manhattan,59.79,175.0,22.66,229.91,80.86666666666667,3
6,rainy,winter,day,manhattan,57.35,178.5,49.25,280.75,175.2,4
6,rainy,winter,day,not manhattan,171.14,513.9,33.7,600.9,316.48333333333335,6
6,rainy,winter,night,manhattan,106.5,311.9,64.19,494.47,219.35,7
6,rainy,winter,night,not manhattan,9.43,73.0,0.0,79.85,11.216666666666667,1
6,sunny,fall,day,manhattan,481.03000000000003,1562.5,208.54,2276.44,1182.0166666666667,31
6,sunny,fall,day,not manhattan,873.49,2383.0,183.04,2987.59,1812.45,38
6,sunny,fall,night,manhattan,478.31,1442.5,305.58,2234.69,1209.4666666666667,31
6,sunny,fall,night,not manhattan,511.77,1381.5,180.22,1827.52,869.1666666666666,25
6,sunny,spring,day,manhattan,341.97,1027.0,100.50999999999999,1448.31,912.3333333333334,21
6,sunny,spring,day,not manhattan,952.35,2577.0,258.97,3347.27,1849.6333333333334,42
6,sunny,spring,night,manhattan,446.61,1308.5,269.68,2047.23,917.0666666666666,31
6,sunny,spring,night,not manhattan,344.33,935.5,119.78,1227.1299999999999,612.9,17
6,sunny,summer,day,manhattan,406.82,1232.0,151.49,1775.39,1119.4,26
6,sunny,summer,day,not manhattan,824.23,2317.5,141.72,2877.3199999999997,1743.4166666666667,40
6,sunny,summer,night,manhattan,361.06,1105.0,152.28,1640.0900000000001,987.75,24
6,sunny,summer,night,not manhattan,576.44,1615.0,187.21,2081.31,1019.95,27
6,sunny,winter,day,manhattan,323.02,989.8,151.17,1424.67,733.65,19
6,sunny,winter,day,not manhattan,628.3,1867.6,216.09,2376.96,1117.1833333333334,30
6,sunny,winter,night,manhattan,186.2,583.5,88.05,846.8000000000001,372.7,13
6,sunny,winter,night,not manhattan,209.18,624.5,48.8,781.25,315.6,11
7,rainy,fall,day,manhattan,6416.9,26070.63,3959.56,35519.29,33539.566666666666,1254
7,rainy,fall,day,not manhattan,8013.43,26035.64,3733.73,32103.17,25074.55,1089
7,rainy,fall,night,manhattan,10014.31,36443.0,5846.99,49997.89,41504.46666666667,1903
7,rainy,fall,night,not manhattan,4662.58,14780.5,2245.96,18785.21,11946.4,686
7,rainy,spring,day,manhattan,8182.53,32215.0,5068.77,44211.33,39508.51666666667,1662
7,rainy,spring,day,not manhattan,6909.59,22840.65,3303.69,28348.44,21971.65,1097
7,rainy,spring,night,manhattan,12637.53,45126.0,7453.64,62042.57,50439.36666666667,2369
7,rainy,spring,night,not manhattan,4704.12,14812.5,2184.55,18740.35,12065.666666666666,701
7,rainy,summer,day,manhattan,5067.84,20102.5,3102.6,27594.65,25279.416666666668,1036
7,rainy,summer,day,not manhattan,6418.89,20762.0,2784.1,25526.95,19814.433333333334,923
7,rainy,summer,night,manhattan,4906.7,17205.5,2658.16,23516.11,18360.233333333334,930
7,rainy,summer,night,not manhattan,2238.0,7063.0,1081.95,8971.7,5555.483333333334,316
7,rainy,winter,day,manhattan,6506.16,26929.7,4241.02,36911.27,32307.016666666666,1322
7,rainy,winter,day,not manhattan,6815.04,23189.8,3350.13,28862.78,20360.466666666667,1017
7,rainy,winter,night,manhattan,8242.55,30378.1,5012.43,41844.88,32329.283333333333,1565
7,rainy,winter,night,not manhattan,3191.62,10624.2,1650.05,13725.35,8042.183333333333,491
7,sunny,fall,day,manhattan,30966.58,125874.68,19953.05,172932.74,159823.93333333332,6289
7,sunny,fall,day,not manhattan,35946.54,117351.12,16643.74,144893.01,111755.36666666667,5104
7,sunny,fall,night,manhattan,61094.71,221649.67,37144.06,305520.27,249159.48333333334,11520
7,sunny,fall,night,not manhattan,21075.65,68423.47,10991.04,88001.85,56381.26666666667,3310
7,sunny,spring,day,manhattan,35220.41,140635.5,21828.83,192579.89,174892.11666666667,7101
7,sunny,spring,day,not manhattan,36140.6,118358.79,16337.8,145922.19,111993.93333333333,5407
7,sunny,spring,night,manhattan,57487.16,204420.12,33446.93,281149.42,221965.11666666667,10861
7,sunny,spring,night,not manhattan,19733.61,62961.49,9765.85,80468.24,50403.25,3073
7,sunny,summer,day,manhattan,32563.6,127647.5,19640.38,174892.68,157034.65,6534
7,sunny,summer,day,not manhattan,37675.56,121986.95,16561.31,149722.76,114794.3,5333
7,sunny,summer,night,manhattan,59989.49,214271.79,35827.7,295554.49,236110.01666666666,11295
7,sunny,summer,night,not manhattan,23572.44,74661.5,11479.72,94840.23,61538.9,3436
7,sunny,winter,day,manhattan,29762.73,122831.9,18686.89,168524.04,143498.38333333333,6139
7,sunny,winter,day,not manhattan,30357.05,106880.0,15513.6,135211.1,91061.36666666667,4895
7,sunny,winter,night,manhattan,50275.4,186223.95,29910.44,255353.26,190418.51666666666,9396
7,sunny,winter,night,not manhattan,16169.59,54912.48,8708.02,71390.87,39835.066666666666,2604
8,rainy,fall,day,manhattan,90.8,316.5,37.480000000000004,428.58,370.68333333333334,11
8,rainy,fall,day,not manhattan,54.94,226.5,32.199999999999996,299.15000000000003,218.01666666666665,12
8,rainy,fall,night,manhattan,35.78,130.0,17.7,170.5,146.8,6
