pickup_at,weather,season,time,pickup_area,trip_distance
Friday,sunny,summer,day,manhattan,2.5509275308005805
Friday,sunny,summer,day,not manhattan,10.015436066200094
Friday,sunny,summer,night,manhattan,2.8762965948376236
Friday,sunny,summer,night,not manhattan,10.532345375316277
Friday,sunny,winter,day,manhattan,2.303889869390705
Friday,sunny,winter,day,not manhattan,9.578554994047474
Friday,sunny,winter,night,manhattan,2.655096585276111
Friday,sunny,winter,night,not manhattan,9.544742710464044
Saturday,rainy,fall,day,manhattan,2.477523838272635
Saturday,rainy,fall,day,not manhattan,10.068053627005028
Saturday,rainy,fall,night,manhattan,2.915116518081216
Saturday,rainy,fall,night,not manhattan,9.368344262295082
Saturday,rainy,spring,day,manhattan,2.389557673796872
Saturday,rainy,spring,day,not manhattan,9.459377822255853
Saturday,rainy,spring,night,manhattan,2.697613405146619
Saturday,rainy,spring,night,not manhattan,9.72419908583037
Saturday,rainy,summer,day,manhattan,2.631209454202222
Saturday,rainy,summer,day,not manhattan,10.126176443920574
Saturday,rainy,summer,night,manhattan,2.937832759989415
Saturday,rainy,summer,night,not manhattan,10.557303974221268
Saturday,rainy,winter,day,manhattan,2.377924118493121
Saturday,rainy,winter,day,not manhattan,10.248500651211254
Saturday,rainy,winter,night,manhattan,2.6365575584043732
Saturday,rainy,winter,night,not manhattan,10.690387612797375
Saturday,sunny,fall,day,manhattan,2.5633980141815034
Saturday,sunny,fall,day,not manhattan,10.17057262706948
Saturday,sunny,fall,night,manhattan,2.809333352021778
Saturday,sunny,fall,night,not manhattan,9.575308614929623
Saturday,sunny,spring,day,manhattan,2.5305026961586177
Saturday,sunny,spring,day,not manhattan,9.918835898686728
Saturday,sunny,spring,night,manhattan,2.7969632928430186
Saturday,sunny,spring,night,not manhattan,9.387047944790845
Saturday,sunny,summer,day,manhattan,2.6121866468347745
Saturday,sunny,summer,day,not manhattan,10.075732986860169
Saturday,sunny,summer,night,manhattan,2.8679582014197433
Saturday,sunny,summer,night,not manhattan,9.990997050007138
Saturday,sunny,winter,day,manhattan,2.310256039296993
Saturday,sunny,winter,day,not manhattan,9.396028021950105
Saturday,sunny,winter,night,manhattan,2.688314449051065
Saturday,sunny,winter,night,not manhattan,9.157990893568584
Sunday,rainy,fall,day,manhattan,2.748956014949168
Sunday,rainy,fall,day,not manhattan,11.272214599269248
Sunday,rainy,fall,night,manhattan,2.861077604288045
Sunday,rainy,fall,night,not manhattan,11.587976326842305
Sunday,rainy,spring,day,manhattan,2.6516018842045814
Sunday,rainy,spring,day,not manhattan,10.617980387578799
Sunday,rainy,spring,night,manhattan,2.911446619113331
Sunday,rainy,spring,night,not manhattan,10.084033903390338
Sunday,rainy,summer,day,manhattan,2.888670445670963
Sunday,rainy,summer,day,not manhattan,11.234167375251735
Sunday,rainy,summer,night,manhattan,2.906624219622111
Sunday,rainy,summer,night,not manhattan,11.601595305368399
Sunday,rainy,winter,day,manhattan,2.467765717162998
Sunday,rainy,winter,day,not manhattan,10.629531610726337
Sunday,rainy,winter,night,manhattan,2.721804783092325
Sunday,rainy,winter,night,not manhattan,11.86714242146996
Sunday,sunny,fall,day,manhattan,2.8407174145310314
Sunday,sunny,fall,day,not manhattan,10.934642504455214
Sunday,sunny,fall,night,manhattan,3.0209689774381365
Sunday,sunny,fall,night,not manhattan,10.337871757925072
Sunday,sunny,spring,day,manhattan,2.823475584855979
Sunday,sunny,spring,day,not manhattan,10.868907045297291
Sunday,sunny,spring,night,manhattan,2.9587194484608816
Sunday,sunny,spring,night,not manhattan,11.039939189684226
Sunday,sunny,summer,day,manhattan,2.868241513025829
Sunday,sunny,summer,day,not manhattan,10.984435923270304
Sunday,sunny,summer,night,manhattan,3.0053479088238944
Sunday,sunny,summer,night,not manhattan,10.78519328484607
Sunday,sunny,winter,day,manhattan,2.5653878344549823
Sunday,sunny,winter,day,not manhattan,10.46784674824493
Sunday,sunny,winter,night,manhattan,2.846170963184891
Sunday,sunny,winter,night,not manhattan,10.287584238867572
