PULocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
71,rainy,winter,night,not manhattan,20.93,73.5,6.95,86.85,74.56666666666666,12.039318587572915,16.646706586826348,3
71,sunny,fall,day,not manhattan,110.49,560.36,85.84,678.1,645.5833333333334,151.94632600534325,128.0463088108841,23
71,sunny,fall,night,not manhattan,56.0,205.5,24.2,250.29999999999998,215.66666666666666,59.017925924478796,71.06919040639008,12
71,sunny,spring,day,not manhattan,45.66,284.0,13.49,313.99,297.3666666666667,143.879793743041,72.83493771357459,20
71,sunny,spring,night,not manhattan,25.16,96.0,21.14,124.94,101.5,27.382667439922137,73.07692307692308,6
71,sunny,summer,day,not manhattan,65.0,233.5,25.47,276.77,209.91666666666666,53.668485716326245,75.96205546010069,11
71,sunny,summer,night,not manhattan,41.5,161.5,15.42,189.92000000000002,194.75,48.62404049354509,64.10108687955997,10
71,sunny,winter,day,not manhattan,26.18,139.6,0.0,151.8,170.85,75.08864480571046,0.0,11
71,sunny,winter,night,not manhattan,36.07,130.0,13.290000000000001,156.19,125.71666666666667,38.63757363483305,56.43727424810082,8
72,rainy,fall,day,not manhattan,29.07,128.5,16.11,153.21,170.4,43.377303507964896,33.32110540474443,7
72,rainy,fall,night,not manhattan,3.9000000000000004,48.54,8.45,59.89,22.866666666666667,18.29206349206349,19.981082998344764,3
72,rainy,spring,day,not manhattan,4.0200000000000005,20.5,0.0,22.1,24.416666666666668,12.471721721721721,0.0,2
72,rainy,summer,day,not manhattan,16.43,70.0,13.34,89.14,85.18333333333334,31.896450997834748,70.95059412132584,6
72,rainy,summer,night,not manhattan,27.59,85.5,10.0,105.94999999999999,74.85,9.834310134310133,42.91845493562232,3
72,rainy,winter,day,not manhattan,38.54,159.0,32.75,205.5,165.31666666666666,32.10091536707051,51.419099203226445,5
72,rainy,winter,night,not manhattan,1.06,7.9,0.0,10.4,5.2,4.90566037735849,0.0,1
72,sunny,fall,day,not manhattan,136.96,656.0,42.74,743.04,751.1999999999999,217.47295153866506,101.30981999744678,36
72,sunny,fall,night,not manhattan,46.75,212.5,10.06,238.31,174.81666666666666,50.747940622697776,22.447013487475918,10
72,sunny,spring,day,not manhattan,142.10999999999999,590.0,52.97,696.17,729.2833333333333,172.06188865761894,107.9109269051021,27
72,sunny,spring,night,not manhattan,42.7,154.0,6.35,168.45,160.18333333333334,30.681767561882758,16.644823066841415,7
72,sunny,summer,day,not manhattan,78.78,363.5,19.05,407.05,489.8333333333333,135.91433209935587,69.34310692379937,20
72,sunny,summer,night,not manhattan,34.35,167.5,7.12,189.62,158.7,53.80450601717927,39.285714285714285,10
72,sunny,winter,day,not manhattan,49.63,223.9,15.01,302.11,239.83333333333334,113.78556189185481,46.41516300808337,18
72,sunny,winter,night,not manhattan,31.73,110.7,13.32,131.12,101.19999999999999,14.683481976960238,36.93650232099401,4
73,rainy,fall,day,not manhattan,3.61,15.0,3.16,18.96,18.366666666666667,5.087719298245615,16.666666666666664,1
73,rainy,fall,night,not manhattan,7.87,25.0,5.26,31.56,21.05,2.6747141041931384,16.666666666666664,1
73,rainy,spring,day,not manhattan,10.52,34.0,4.06,39.66,31.699999999999996,6.426634680959014,16.666666666666664,2
73,rainy,spring,night,not manhattan,2.59,10.5,0.0,11.8,10.65,4.111969111969112,0.0,1
73,rainy,summer,day,not manhattan,2.63,12.5,0.0,13.8,15.75,5.988593155893536,0.0,1
73,rainy,winter,day,not manhattan,0.89,6.5,0.0,7.3,8.383333333333333,9.41947565543071,0.0,1
73,sunny,fall,day,not manhattan,28.85,125.5,9.77,153.42000000000002,159.85,47.34073969441828,54.700854700854705,7
73,sunny,fall,night,not manhattan,17.06,55.0,12.27,71.17,47.08333333333333,9.063235145010804,53.33333333333333,3
73,sunny,spring,day,not manhattan,64.13000000000001,209.0,81.02,313.92,208.43333333333334,26.195689551605323,90.13241960331604,6
73,sunny,spring,night,not manhattan,12.17,36.0,11.54,50.14,21.383333333333333,4.7099874979359795,45.80419580419581,2
73,sunny,summer,day,not manhattan,50.71,188.0,31.59,237.83999999999997,204.54999999999998,58.72673228162728,70.0,9
73,sunny,summer,night,not manhattan,12.07,33.5,8.7,43.5,20.08333333333333,1.663904998619166,20.0,1
73,sunny,winter,day,not manhattan,75.08,266.5,24.259999999999998,332.61,259.3,87.58045718086318,45.95532523805504,14
73,sunny,winter,night,not manhattan,7.13,32.4,0.0,34.9,21.516666666666666,3.0177653108929405,0.0,1
74,rainy,fall,day,manhattan,8127.46,37669.1,5333.78,50644.39,42970.166666666664,19350.862607455452,28418.729851953274,3102
74,rainy,fall,night,manhattan,1184.38,4811.5,532.78,6445.58,4180.416666666667,1937.327240842497,3120.4315108445194,449
74,rainy,spring,day,manhattan,11056.14,48898.7,6094.59,64707.340000000004,55756.78333333333,25418.9837080085,33860.14536057966,4159
74,rainy,spring,night,manhattan,1811.27,7259.6,632.46,9475.11,6699.166666666667,2944.525976203809,3872.2989686618203,672
74,rainy,summer,day,manhattan,7660.86,34065.5,4231.83,45318.83,37818.933333333334,16817.76996511115,21788.979598143327,2805
74,rainy,summer,night,manhattan,736.95,2806.45,302.98,3733.9300000000003,2472.75,994.8089480531183,1664.143011817879,238
74,rainy,winter,day,manhattan,8353.72,40021.18,4697.51,52986.1,43178.75,21137.53698566364,25791.283215385625,3469
74,rainy,winter,night,manhattan,1326.41,5392.5,426.38,7008.35,4503.45,1840.8919334318753,2197.025968628036,446
74,sunny,fall,day,manhattan,40921.55,186046.95,24939.33,249357.33000000002,211084.26666666666,95019.4449889403,131501.86325349883,15394
74,sunny,fall,night,manhattan,8618.37,33907.78,3922.37,45274.35,30242.38333333333,12626.376109622037,21416.591375278094,2897
74,sunny,spring,day,manhattan,48644.72,221238.37,27075.25,293136.92,249148.13333333333,114742.37191326024,145722.5093429876,18632
74,sunny,spring,night,manhattan,9670.7,37210.26,3553.77,49039.54,32763.083333333332,13878.094084785438,20877.582313348958,3263
74,sunny,summer,day,manhattan,45372.36,197002.72,24528.3,262596.5,215220.65,94759.5799169447,131436.6420294455,16583
74,sunny,summer,night,manhattan,10715.62,42107.09,4297.45,55600.18,37068.85,15159.304642921088,23624.199863851958,3544
74,sunny,winter,day,manhattan,36886.9,175348.5,19813.08,231957.09,187860.86666666667,92023.14537486804,110180.09342868076,15249
74,sunny,winter,night,manhattan,7229.41,29706.38,2544.2,38989.590000000004,24192.466666666667,10949.259585320155,13971.26819422804,2568
75,rainy,fall,day,manhattan,21709.85,101784.67,16884.26,143821.48,120424.4,55269.40597257765,93822.85236825144,8592
75,rainy,fall,night,manhattan,2924.74,11365.93,1585.97,15762.99,10242.483333333334,4231.256577068734,8658.03977593162,980
75,rainy,spring,day,manhattan,26419.26,120398.47,19732.73,170246.6,138223.91666666666,63757.75574077115,111704.76408673415,10556
75,rainy,spring,night,manhattan,3967.88,15632.91,2180.29,21813.8,14088.066666666666,5889.2633722594,12337.897019870938,1371
75,rainy,summer,day,manhattan,19446.66,87283.78,13905.8,122990.93000000001,99178.51666666666,44637.701824248965,76265.28660399161,7392
75,rainy,summer,night,manhattan,1576.52,6205.39,786.18,8459.07,5159.983333333334,2109.961929266538,4349.540722131544,514
75,rainy,winter,day,manhattan,24122.02,115136.75,18017.34,162018.16,127792.45,63284.68230482492,103378.68425622839,10192
75,rainy,winter,night,manhattan,2580.31,10899.73,1590.49,15485.97,9269.0,4176.002677393787,8838.199971132695,972
75,sunny,fall,day,manhattan,110295.36,505864.19,83443.47,713498.62,587272.0833333334,266147.7776523008,454893.86324068933,42444
75,sunny,fall,night,manhattan,15963.45,64370.6,9488.53,90339.48,58264.21666666667,24567.082903251732,53479.27367667858,5698
75,sunny,spring,day,manhattan,125538.87,571846.19,91015.48,803984.9500000001,657872.15,300744.5638552234,501845.7145712255,48628
