pickup_at,weather,season,time,pickup_area,duration
Sunday,sunny,fall,day,manhattan,478273
Sunday,sunny,fall,day,not manhattan,88099
Sunday,sunny,fall,night,manhattan,219840
Sunday,sunny,fall,night,not manhattan,34700
Sunday,sunny,spring,day,manhattan,612202
Sunday,sunny,spring,day,not manhattan,105503
Sunday,sunny,spring,night,manhattan,229612
Sunday,sunny,spring,night,not manhattan,40947
Sunday,sunny,summer,day,manhattan,540004
Sunday,sunny,summer,day,not manhattan,102229
Sunday,sunny,summer,night,manhattan,241730
Sunday,sunny,summer,night,not manhattan,40148
Sunday,sunny,winter,day,manhattan,502534
Sunday,sunny,winter,day,not manhattan,82048
Sunday,sunny,winter,night,manhattan,210946
Sunday,sunny,winter,night,not manhattan,31013
