PULocationID,weather,season,time,pickup_area,tip_amount
24,rainy,fall,night,manhattan,1.9696701030927835
24,rainy,spring,day,manhattan,2.322071428571429
24,rainy,spring,night,manhattan,2.056719160104987
24,rainy,summer,day,manhattan,2.3005782105903836
24,rainy,summer,night,manhattan,2.2667058823529413
24,rainy,winter,day,manhattan,2.289493612078978
24,rainy,winter,night,manhattan,2.240475113122172
24,sunny,fall,day,manhattan,2.361945685969685
24,sunny,fall,night,manhattan,2.1880029585798817
24,sunny,spring,day,manhattan,2.3294685332011893
24,sunny,spring,night,manhattan,2.140018472906404
24,sunny,summer,day,manhattan,2.301654223968566
24,sunny,summer,night,manhattan,2.035059313882655
24,sunny,winter,day,manhattan,2.278052535311452
24,sunny,winter,night,manhattan,2.1566959511077157
25,rainy,fall,day,not manhattan,2.9911676646706584
25,rainy,fall,night,not manhattan,2.499235668789809
25,rainy,spring,day,not manhattan,2.633644859813084
25,rainy,spring,night,not manhattan,2.745
25,rainy,summer,day,not manhattan,2.733978494623656
25,rainy,summer,night,not manhattan,2.247843137254902
25,rainy,winter,day,not manhattan,2.2284892086330936
25,rainy,winter,night,not manhattan,2.6991509433962264
25,sunny,fall,day,not manhattan,2.8887257963772646
25,sunny,fall,night,not manhattan,2.5582976324689968
25,sunny,spring,day,not manhattan,2.8125167612171222
25,sunny,spring,night,not manhattan,2.605121722846442
25,sunny,summer,day,not manhattan,2.4353085714285716
25,sunny,summer,night,not manhattan,2.556659707724426
25,sunny,winter,day,not manhattan,2.478808114961961
25,sunny,winter,night,not manhattan,2.5305172413793104
26,rainy,fall,day,not manhattan,0.8618181818181818
26,rainy,fall,night,not manhattan,0.0
26,rainy,spring,day,not manhattan,0.0
26,rainy,spring,night,not manhattan,0.0
26,rainy,summer,day,not manhattan,3.3200000000000003
26,rainy,winter,day,not manhattan,3.1455555555555557
26,rainy,winter,night,not manhattan,5.238333333333333
26,sunny,fall,day,not manhattan,2.4490697674418604
26,sunny,fall,night,not manhattan,3.135384615384616
26,sunny,spring,day,not manhattan,2.765
26,sunny,spring,night,not manhattan,0.2727272727272727
26,sunny,summer,day,not manhattan,4.97
26,sunny,summer,night,not manhattan,1.2594117647058825
26,sunny,winter,day,not manhattan,3.0693181818181823
26,sunny,winter,night,not manhattan,2.1585714285714284
27,rainy,winter,day,not manhattan,5.18
27,sunny,spring,day,not manhattan,2.475
27,sunny,summer,day,not manhattan,0.0
28,rainy,fall,day,not manhattan,7.576086956521739
