pickup_at,weather,season,time,pickup_area,duration
Sunday,rainy,fall,day,manhattan,845.9419909573217
Sunday,rainy,fall,day,not manhattan,1899.8284572720343
Sunday,rainy,fall,night,manhattan,741.8069214635283
Sunday,rainy,fall,night,not manhattan,1490.5924016800304
Sunday,rainy,spring,day,manhattan,730.8781411167449
Sunday,rainy,spring,day,not manhattan,1672.5914078916646
Sunday,rainy,spring,night,manhattan,745.138131426017
Sunday,rainy,spring,night,not manhattan,1310.3105310531053
Sunday,rainy,summer,day,manhattan,805.1108693172346
Sunday,rainy,summer,day,not manhattan,1845.05142089953
Sunday,rainy,summer,night,manhattan,721.8675321453674
Sunday,rainy,summer,night,not manhattan,1561.6133449250162
Sunday,rainy,winter,day,manhattan,727.9025751690405
Sunday,rainy,winter,day,not manhattan,1622.9317172793465
Sunday,rainy,winter,night,manhattan,652.4855858361142
Sunday,rainy,winter,night,not manhattan,1394.5154010369015
Sunday,sunny,fall,day,manhattan,807.5627058186433
Sunday,sunny,fall,day,not manhattan,1725.7484761461537
Sunday,sunny,fall,night,manhattan,750.276155385735
Sunday,sunny,fall,night,not manhattan,1299.192507204611
Sunday,sunny,spring,day,manhattan,769.8996001319825
Sunday,sunny,spring,day,not manhattan,1763.4317507559026
Sunday,sunny,spring,night,manhattan,710.9214762294654
Sunday,sunny,spring,night,not manhattan,1356.4088944245
Sunday,sunny,summer,day,manhattan,773.3605232553833
Sunday,sunny,summer,day,not manhattan,1770.5952811824434
Sunday,sunny,summer,night,manhattan,736.8561080544409
Sunday,sunny,summer,night,not manhattan,1452.279665238617
Sunday,sunny,winter,day,manhattan,721.5655239247494
Sunday,sunny,winter,day,not manhattan,1556.3174361349454
Sunday,sunny,winter,night,manhattan,695.1361485877902
Sunday,sunny,winter,night,not manhattan,1245.5319059749138
