pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
June,rainy,summer,night,manhattan,3.074532838017803,12.173009509123618,2.3934917408471765,18.519907245157825,732.6562463493843,42801
June,rainy,summer,night,not manhattan,11.049850619769042,33.18271215171099,5.588852632694142,44.498256171204574,1379.4059752092382,9439
June,rainy,winter,day,manhattan,,,,,,0
June,rainy,winter,day,not manhattan,,,,,,0
June,rainy,winter,night,manhattan,,,,,,0
June,rainy,winter,night,not manhattan,,,,,,0
June,sunny,fall,day,manhattan,,,,,,0
June,sunny,fall,day,not manhattan,,,,,,0
June,sunny,fall,night,manhattan,,,,,,0
June,sunny,fall,night,not manhattan,,,,,,0
June,sunny,spring,day,manhattan,,,,,,0
June,sunny,spring,day,not manhattan,,,,,,0
June,sunny,spring,night,manhattan,,,,,,0
June,sunny,spring,night,not manhattan,,,,,,0
June,sunny,summer,day,manhattan,2.543553546826701,12.01117386444606,2.3598781115446186,18.189849131330313,863.0881762620102,1900262
June,sunny,summer,day,not manhattan,9.909238079126796,32.02228274700461,5.44936797122662,43.996503210526704,1999.8581962209196,271918
June,sunny,summer,night,manhattan,2.9347631288461606,12.109555389772378,2.426945317431651,18.45838971836739,770.6002508126938,592474
June,sunny,summer,night,not manhattan,10.524937701843943,31.95138868632149,5.332533701427232,42.90783133659756,1455.2759037399728,95990
June,sunny,winter,day,manhattan,,,,,,0
June,sunny,winter,day,not manhattan,,,,,,0
June,sunny,winter,night,manhattan,,,,,,0
June,sunny,winter,night,not manhattan,,,,,,0
July,rainy,fall,day,manhattan,,,,,,0
July,rainy,fall,day,not manhattan,,,,,,0
July,rainy,fall,night,manhattan,,,,,,0
July,rainy,fall,night,not manhattan,,,,,,0
July,rainy,spring,day,manhattan,,,,,,0
July,rainy,spring,day,not manhattan,,,,,,0
July,rainy,spring,night,manhattan,,,,,,0
July,rainy,spring,night,not manhattan,,,,,,0
July,rainy,summer,day,manhattan,2.5139148966857454,11.65473548969894,2.243863049782137,17.76629195955486,814.866788376577,263468
July,rainy,summer,day,not manhattan,9.855688140735484,31.267270191578383,5.138215605196839,42.91002471189841,1738.7049741870765,40871
July,rainy,summer,night,manhattan,2.9416452011933347,11.794167212399039,2.3102372116713963,18.011656479662374,710.0578840136797,27486
July,rainy,summer,night,not manhattan,11.590539024770214,34.3723866645895,5.615109830191619,45.874910422184136,1483.2383548839382,6419
July,rainy,winter,day,manhattan,,,,,,0
July,rainy,winter,day,not manhattan,,,,,,0
July,rainy,winter,night,manhattan,,,,,,0
July,rainy,winter,night,not manhattan,,,,,,0
July,sunny,fall,day,manhattan,,,,,,0
July,sunny,fall,day,not manhattan,,,,,,0
July,sunny,fall,night,manhattan,,,,,,0
July,sunny,fall,night,not manhattan,,,,,,0
July,sunny,spring,day,manhattan,,,,,,0
July,sunny,spring,day,not manhattan,,,,,,0
July,sunny,spring,night,manhattan,,,,,,0
July,sunny,spring,night,not manhattan,,,,,,0
July,sunny,summer,day,manhattan,2.5155650472260054,11.580050434700457,2.2248829603873017,17.57110902190669,799.4685219493199,1735908
July,sunny,summer,day,not manhattan,9.966111395632035,31.51155044935338,5.180233800327009,42.99392221577308,1762.7189502316,263601
July,sunny,summer,night,manhattan,2.91869871501704,11.917946461502147,2.3460978047593053,18.17888701813139,743.9060144136436,542264
July,sunny,summer,night,not manhattan,10.757922740366912,32.47317637375728,5.271028179081202,43.34479824124413,1437.2309774957223,92338
July,sunny,winter,day,manhattan,,,,,,0
July,sunny,winter,day,not manhattan,,,,,,0
July,sunny,winter,night,manhattan,,,,,,0
July,sunny,winter,night,not manhattan,,,,,,0
August,rainy,fall,day,manhattan,,,,,,0
August,rainy,fall,day,not manhattan,,,,,,0
August,rainy,fall,night,manhattan,,,,,,0
August,rainy,fall,night,not manhattan,,,,,,0
August,rainy,spring,day,manhattan,,,,,,0
August,rainy,spring,day,not manhattan,,,,,,0
August,rainy,spring,night,manhattan,,,,,,0
August,rainy,spring,night,not manhattan,,,,,,0
August,rainy,summer,day,manhattan,2.557028053802636,11.563163363753421,2.1907197960815523,17.533779511301482,792.5439502066589,266381
August,rainy,summer,day,not manhattan,10.30858130253506,32.383949744710264,5.193851642103855,43.930941116140104,1852.7915319613833,44851
August,rainy,summer,night,manhattan,2.9376108425271683,11.783544688236024,2.3167747200528903,18.035358456262138,716.9599190116111,48402
August,rainy,summer,night,not manhattan,10.863607129731717,32.611101617052555,5.156454428518927,43.25719312752664,1385.0193862550532,10884
August,rainy,winter,day,manhattan,,,,,,0
August,rainy,winter,day,not manhattan,,,,,,0
August,rainy,winter,night,manhattan,,,,,,0
August,rainy,winter,night,not manhattan,,,,,,0
August,sunny,fall,day,manhattan,,,,,,0
August,sunny,fall,day,not manhattan,,,,,,0
August,sunny,fall,night,manhattan,,,,,,0
August,sunny,fall,night,not manhattan,,,,,,0
August,sunny,spring,day,manhattan,,,,,,0
August,sunny,spring,day,not manhattan,,,,,,0
August,sunny,spring,night,manhattan,,,,,,0
August,sunny,spring,night,not manhattan,,,,,,0
August,sunny,summer,day,manhattan,2.5037688652257475,11.592172521157979,2.237427326193977,17.642499698341137,808.0718513886989,1732089
August,sunny,summer,day,not manhattan,9.951192758878888,31.46330695482374,5.039146430092056,42.82599407584678,1795.8230865792602,272444
August,sunny,summer,night,manhattan,2.9002889445458533,11.881860734954932,2.3356990036325267,18.133130340390178,748.166158274661,494697
August,sunny,summer,night,not manhattan,10.710203628122903,32.40874621841344,5.178361294155179,43.13162231438598,1433.912014169261,90901
August,sunny,winter,day,manhattan,,,,,,0
August,sunny,winter,day,not manhattan,,,,,,0
August,sunny,winter,night,manhattan,,,,,,0
August,sunny,winter,night,not manhattan,,,,,,0
September,rainy,fall,day,manhattan,2.4788606072363955,12.415455976978045,2.403802664338604,18.594424386458435,937.8190448475442,309270
September,rainy,fall,day,not manhattan,10.299026347048859,33.32607111561155,5.683567853874165,45.55684555916889,2141.6568262808405,51353
September,rainy,fall,night,manhattan,2.95555223880597,12.025565095315502,2.384503472735333,18.381696172602336,744.9339145854884,67670
September,rainy,fall,night,not manhattan,11.5845794185918,34.43001547474301,5.945515087874433,46.33746158947718,1466.844257765005,18094
September,rainy,spring,day,manhattan,,,,,,0
September,rainy,spring,day,not manhattan,,,,,,0
September,rainy,spring,night,manhattan,,,,,,0
September,rainy,spring,night,not manhattan,,,,,,0
September,rainy,summer,day,manhattan,,,,,,0
September,rainy,summer,day,not manhattan,,,,,,0
September,rainy,summer,night,manhattan,,,,,,0
September,rainy,summer,night,not manhattan,,,,,,0
September,rainy,winter,day,manhattan,,,,,,0
September,rainy,winter,day,not manhattan,,,,,,0
September,rainy,winter,night,manhattan,,,,,,0
September,rainy,winter,night,not manhattan,,,,,,0
September,sunny,fall,day,manhattan,2.5612674733486855,12.40776973479949,2.426825997154156,18.682887878072258,914.0731126505785,1668398
September,sunny,fall,day,not manhattan,10.300447447641737,33.2534762917829,5.611489741472159,45.51425754594549,2096.563440745632,262757
September,sunny,fall,night,manhattan,2.9385415875579075,12.229582525591267,2.467062130520459,18.629498427151326,788.4198666576066,500366
September,sunny,fall,night,not manhattan,10.222891198193997,31.187150271145683,5.151802689372562,41.939280666454,1395.6219419429244,81506
September,sunny,spring,day,manhattan,,,,,,0
September,sunny,spring,day,not manhattan,,,,,,0
September,sunny,spring,night,manhattan,,,,,,0
September,sunny,spring,night,not manhattan,,,,,,0
September,sunny,summer,day,manhattan,,,,,,0
September,sunny,summer,day,not manhattan,,,,,,0
September,sunny,summer,night,manhattan,,,,,,0
September,sunny,summer,night,not manhattan,,,,,,0
September,sunny,winter,day,manhattan,,,,,,0
September,sunny,winter,day,not manhattan,,,,,,0
September,sunny,winter,night,manhattan,,,,,,0
September,sunny,winter,night,not manhattan,,,,,,0
October,rainy,fall,day,manhattan,2.409548163693599,11.757894209672804,2.3503694362300864,17.9125789373271,859.2213622054755,524150
October,rainy,fall,day,not manhattan,10.074343994694825,32.16098566582498,5.50154781033999,44.24136098145739,1886.9035886448848,78414
October,rainy,fall,night,manhattan,2.845757613745877,11.804087329880671,2.381698098424364,18.116228267427193,756.5271289890387,127631
October,rainy,fall,night,not manhattan,11.055466341016638,33.149205464814536,5.450997939245917,44.520665928865824,1438.7078690276294,26204
October,rainy,spring,day,manhattan,,,,,,0
