FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_18774556e1b_-7f95,10091,Lyshøjgårdsvej,TRAFIK,59,100,Øvrige tællinger,1724,"5,7",2000,2300,2462,,2500,3000,,,,,,,,,,,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/epg43A9dnu.pdf,5.69999981,,,,,,,997,POINT (12.514649384697876 55.66340719589369)
trafiktaelling.fid--38345ac2_18774556e1b_-7f94,10092,Lyshøjgårdsvej,FODG,59,100,Øvrige tællinger,,,,,,,,,4911,5700,5900,,,,,,,5700,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gPevx825gG.pdf,,,,,,,,998,POINT (12.514646027218316 55.663335814038206)
trafiktaelling.fid--38345ac2_18774556e1b_-7f93,10093,Lyshøjgårdsvej,TRAFIK,69,100,Øvrige tællinger,1619,"5,9",1900,2100,2289,,2400,2800,,,,,,,,,,,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CzaMHGGBLL.pdf,5.9000001,,,,,,,999,POINT (12.51262646031785 55.66337647082333)
trafiktaelling.fid--38345ac2_18774556e1b_-7f92,10094,Lyshøjgårdsvej,FODG,69,100,Øvrige tællinger,,,,,,,,,1707,2000,2100,,,,,,,2000,20170509,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/q6TX6ln1aE.pdf,,,,,,,,1000,POINT (12.512657847089965 55.66331873357003)
trafiktaelling.fid--38345ac2_18774556e1b_-7f91,10095,Papirøens bro,FOD,-,100,Øvrige tællinger,,,,,2920,"0,8",3000,3600,7234,8500,8800,,,,,,,8500,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kWXKP4nWXb.pdf,,0.80000001,,,,,,1001,POINT (12.599104942805758 55.6780381106219)
trafiktaelling.fid--38345ac2_18774556e1b_-7f90,10096,Strandgade,Ved Inderhavnsbroen,108,100,Øvrige tællinger,,,,,3338,"3,2",3400,4100,935,1100,1100,,,,,,,1100,20170912,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/541FQ90m2u.pdf,,3.20000005,0,,,,,1002,POINT (12.597804053283731 55.67778618524443)
trafiktaelling.fid--38345ac2_18774556e1b_-7f8f,10097,Trangravsvej,Øst for Trangravsbroen,,100,Øvrige tællinger,730,"0,5",900,1000,4417,"3,1",4500,5400,,,,,,,,,,,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/XNTgqhVuwJ.pdf,0.5,3.0999999,,,,,,1003,POINT (12.599900306170907 55.67778791398128)
trafiktaelling.fid--38345ac2_18774556e1b_-7f8e,10098,Trangravsvej,Øst for Trangravsbroen,-,100,Øvrige tællinger,,,,,4417,,4500,5400,1334,1600,1600,,,,,,,1600,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/XWkLb7I4rv.pdf,,,,,,,,1004,POINT (12.5999028049904 55.677731128650585)
trafiktaelling.fid--38345ac2_18774556e1b_-7f8d,10099,Brøndkærvej-Søndre Fasanvej,KRYDS,-,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20170417,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/eTRlCyaJLT.pdf,,,,,,,,1005,POINT (12.517218482133147 55.6675753026096)
trafiktaelling.fid--38345ac2_18774556e1b_-7f8c,10100,Heibergsgade-Herluf Trolles Gade,KRYDS,-,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20170427,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/00ihgVjS12.pdf,,,,,,,,1006,POINT (12.588365666375505 55.67937130375126)
